Competition Name,Number of Competitors,Description of Event,Example Competition Materials,Who are we Looking For?
Computer Programming,2 Teams of 1,"Contestants demonstrate knowledge of computer programming, describe how programs and programming languages work.","Laptop, Programming Knowledge",Cs. can code. prior experience coding
Cyber Security,6 teams of 2,"The exam is defined by industry standards as determined from elements of the NIST Publication 800-181 CyberSecurity Workforce Framework Categories that include Securely Provision (SP), Operate and Maintain (OM), Protect and Defend (PR). It will require participants to defend a vulnerable Linux computer from attacks on an internal network. It will also require them to test the vulnerability of other computers on the network, gaining user and/or administrator access.","Laptop, Programming/Network/Security Knowledge",Cs. can code. prior experience coding
Information Technology Services,5 Teams of 1,"Contestants will utilize a public cloud environment to create infrastructure, troubleshoot issues and complete tasks on various client operating systems, server operating systems, and end user computing issues. Competitors should be well versed in System Administration. Contest project and outline will be provided by the judges on the day of the contest.","Laptop, System Adminstration/Computer Knowledge",Cs. can code. prior experience coding
Interactive Application and Video Game Development,4 teams of 2,"Welcome to the State Interactive Application and Video Game Design contest which your team of two contestants will further develop and polish, 1) abridged game design document, 2) Beta version of tech demo deliverable or a sample of an interactive multimedia application, 3) seven to ten-minute project post-mortem video, and 4) three to five minute game play video","- Laptop, Game Design/Coding Knowledge",creative. gamer. coder
Internet of Things (IOT) Smart Home,5 Teams of 1,"The purpose of this contest is to evaluate each contestant’s preparation for employment and to recognize outstanding students for excellence and professionalism in the field of home technology integration. This contest is open to active SkillsUSA members enrolled in career and technical education (CTE) programs with computer networking, telecommunications cabling, home theater installation, electronics applications and/or electronics technology as the occupational objectives that have qualified for the State conference through participation in a regional event.","- Laptop, Computer Networking/Communication/Electronics Knowledge","router, wire, cable experience"
Internetworking,3 Teams of 1,"Contestants will build a network infrastructure in a public cloud environment, setting up communications between geographic networks. Contestants will create a command line script utilizing a network analysis tool to detect various traffic entering or exiting the network. Contest project and outline will be provided by the judges on the day of the contest.","- Laptop, Cloud/Communications/Coding knowledge",coder
Technical Computer Applications,3 Teams of 1,"Contestants will be expected to demonstrate installation, configuration and use of Windows, Mac OSX and Linux Professional Operating Systems and one or more integrated office suite packages including email, word processing, spreadsheet applications, database applications, web page development, money management applications, presentations applications, internet browser applications, etc. 
The use of Open source software such as OpenOffice will be preferable. Microsoft Office and other integrated office suites could be used. Contestants will be expected to perform individually while demonstrating individual technical skills. The contest will include an oral presentation demonstrating the student’s ability to communicate with others and a hands-on skills demonstration.","- Laptop, Coding/Computer/Electronics Knowledge",coder
Web Design and Development,4 Teams of 2,"Teams will complete a series of challenges focusing on website usability and accessibility, with at least one challenge related to scripting (client or server or both). Teams will also be evaluated on the process they use to meet the challenges and how well they work as a team.","- Laptop, Coding/Web Design Knowledge",coder
,,,,
8 competitions,46 competitors,,,
