Competition Name,# of Competitors,Description of Event,Example Competition Materials,Who are we Looking For?
Additive Manufacturing,4 Teams of 2,"All students must submit 3D files and Engineering Notebook via email no later than 11:59 PM PST on March 31, 2023. 
Submitted files to be printed by the judges (off-site) and will be delivered the morning of the contest so that students can test, assemble, and be evaluated by contest judges. 
You may 3D print your own parts and bring them to the competition, but ALL print files must be submitted 11:59 PM March 31, 2023 for evaluation by the judging team. 
No PARTS will be Printed onsite during the competition. 
Students submit print files in both CAD (.step, .iges, .sldprt, etc.) and mesh (STL, 3MF, OBJ, etc) format to info@patongroup.com & CC chris@patongroup.com  ","- Laptop, CAD/Engineering Design Knowledge, Access to 3D Printer (Mr. Geuss)",- We want to ask about any prior Cading experience. In class or outside of it. any prior building/engineering experience. maybe other comps or projects they have worked on
Architectural Design,5 Teams of 1,"This is a California ONLY contest. Competitors that medal at the State level will not advance to compete at the national level. Contestants will use their drafting skills to solve an architectural problem. The problem includes creating computer-generated or board-drafted drawings. The contest will challenge the contestants’ problem-solving abilities, not simply their drafting skills.","- Laptop, Engineering Design/Drawing/Generating Ideas Knowledge",Someone with CAd experience.
Architectural Drafting (State Only),5 Teams of 1,"This is a National contest. Competitors that receives the Gold medal at the State level will be eligible to compete at the National level. Contestants will use their drafting skills to solve an architectural problem. The problem includes creating computer-generated drawings and some hand sketching. The contest will challenge the contestants’ problem-solving abilities, not simply their drafting skills.","- Laptop, Engineering Design/Drawing/Creative Knowledge",Someone with CAd experience.
CO2 Dragster (State Only),4 Teams of 1,"The SkillsUSA California CO2 Dragster Competition is designed to promote enthusiasm and motivation through hands-on experiences and competition. Key concepts of design, woodworking skills, measuring skills, and accurate record keeping are combined to advance the goals of SkillsUSA. ",- only 1 person did this,someone with experience building and maybe with design. 
Electronics Technology,4 Teams of 1,"Orientation will consist of a short overview of three projects. After the overview students will be given a preprinted Electrical Circuit that they will breadboard after identifying the values of the parts needed to achieve a required Resistance value. Students will be scored based on the required resistance value within standard resistor tolerance values. 
Judges will provide the circuit and the parts required.  Students will provide breadboard and jumpers, possibly a calculator, and a multimeter.","- Breadboard, Jumpers, Calculator, Multimeter, Circuits Knowledge",circuit experience 
Engineering Technology/Design,4 Teams of 3,"The purpose of this contest is to recognize an outstanding engineering design project that has been developed by a three-member team of engineering or technology students. The student team will present its innovative idea along with a design board, a design prototype and engineering notebook. ","- Laptop, Engineering Notebook, Engineering Design/Protyping Knowledge",engineering or building experience. 
Mobile Electronics Installation,3 Teams of 1,"The event includes a professional interview and hands-on applications that may include taking electrical measurements, installing consumer electronic equipment in a mobile environment, soldering, working with relay circuits and troubleshooting electronic circuitry.",,circuity/ electronics 
Mobile Robotic Technology,4 Teams of 2,The purpose of this contest is to evaluate each team of two contestant’s preparation for employment in the field of robotics with emphasis on the team approach to problem solving in a work environment. To recognize outstanding students for their excellence and professionalism in the emerging field of mobile robotics. ,"- Laptop, Employment/Mobline Robotics/Professionalism Knowledge",preferably in vex
Principles of Engineering/Technology,2 Teams of 1,Contestants will present a technical demonstration of (a) chosen principle(s) of technology. Demonstrate the principle(s) in theory and/or application and leave the judges with a clear comprehension of the subject unit or sub-unit from principles of technology.,"- Laptop, Depending on your principle you would need that material. Depends on the participant.",engineering 
Related Technical Math,4 Teams of 1,This contest also includes a Technical Knowledge exam. The exam will be taken electronically live on the day of the contest.,"- Laptop, Math/Conceptualizing Skills",good at math
Technical Design (State Only),4 Teams of 1,"This is a California only contest. Competitors that medal at the State level will not advance to compete at the National conference. The problem includes creating computer-generated or board-drafted drawings. The contest is designed to challenge the contestants’ problem-solving abilities, not simply their drafting skills.",Only 2 people did this,
Technical Drafting,4 Teams of 1,This is a national-level contest. The top medalist at the State level will be eligible to compete at Nationals. The contest will focus on the solution of industry-developed problems (that are developed and aligned to the national technical standards) by applying appropriate technical drafting skills and tools including computer-aided drafting (CAD).,"- Laptop, CAD/Tehnical Design Skills",
16 competitions,63 competitors,,,
