Competition Name,Number of Competitors,Description of Event,Example Competition Materials,Who are we Looking For?
20 Second Elevator Story (State Only),10 Teams of 1,"This contest accesses public speaking skills through the delivery of a 20-second speech. Contestants will be stopped at 1 minute if they go over 20 seconds and penalties will be assessed accordingly (-20 points for every 5 seconds or fraction thereof, over 20 seconds). 
",- Only 1,Good Speaker. Creative Writer. When we send this event out ask them to talk about either a public speaking experience or some literature they have written. 
American Spirit,1 Team of 3,"Teams of 3 contestants document their SkillsUSA chapters' community service projects focusing on Patriotism, Citizenship, and the Promotion of Career and Technical Education that demonstrate a belief in the American Way of Life and the purposes of SkillsUSA.","- Laptop, Patriotism/Documentation/Communication/Volunteering Knowledge",Good Speaker. well informed on the events. preferably a DOE/officer who dealt with the events hands on.
Community Service,1 Team of 3,The purpose of this contest is to evaluate local chapter activities that benefit the community and to recognize excellence and professionalism in the area of community service. This event also enables the community to become aware of the outstanding work being performed by career and technical education students.,"- Laptop, Community Service/Professionalism Knowledge",preferably an officer. someone that is familiar with community events. or is excited to explore. comfortable speaking socially.
Customer Service ,5 Team of 1,"Evaluates students' proficiency in providing customer 
service. The contest involves live role-playing 
situations. ","- Laptop, Customer Service/Communicatoin Knowledge",quick thinkers. good at speaking
Extemporaneous Speaking,3 Teams of 1,"The purpose of this contest is to evaluate each contestant’s ability to give a speech on an assigned topic with minimum advance preparation. Contestants will have five minutes to organize the content of their speech in the preparation breakout room. The contestant will create a speech of 3 - 5 minutes in length, using the prompt provided, and will present immediately afterward.",- Speech/Creativit Skills,quick thinkers. good at speaking
Facilithon: Leadership in Facility Management,10 Teams of 1,"The Facilithon is a new, 3-part SkillsUSA Demonstration competition to introduce and test students’ abilities toward the immense career opportunities in Facility Management (FM), the Liberal Science of Buildings©. It contains a Written Test, a Role-play and the FM Challenge, an emergency scenario to act on immediately.

Facility Management is an excellent career for those SkillsUSA students who like action and variety in their workday. Beyond just construction, facility managers are in charge of larger buildings and complexes, working with trades and professionals to manage and maintain them for their best purpose. SkillsUSA students represent an unusually high aptitude for this career.  No prior training in Facility Management is required for this competition.","- Laptop, Pencil, Faciillity Managment, Liberal Science Knowledge",good leadership + public speaking + communication
Job Interview,3 Teams of 1,Contestants are evaluated on their understanding of employment procedures faced when applying for positions in the occupational areas for which they are training.,"-Laptop, Employment/Interview Knowledge",good at speaking
Job Skill Demonstration A,4 Teams of 1,Contestants demonstrate and explain an entry-level skill used in the occupational area for which they are training. Job Skill A must demonstrate a career objective in an occupational area that is included in one of the contest areas of the SkillsUSA Championships.,- Skill Demonstration Knowledge,
Job Skill Demonstration Open,3 Teams of 1,"Contestants demonstrate and explain an entry-level skill used in an occupational area outside of their training program. Any technical skill may be demonstrated, from outside the training program of the participant.",- Skill Demonstration Knowledge,
Outstanding Chapter,1 Team of 3,The Outstanding Chapter contest consists of activities members have been involved with during the school year. Each activity is documented in a scrapbook for judging. One student representative is interviewed during the competition.,"- Documentation, Scrapbook, Interviewing Knowledge",speaking. creative. preferably officer
Prepared Speech,4 Teams of 1,Students to deliver a 5-7 minute speech on a common theme established by SkillsUSA for the current school year.,- Speech Knowledge,good speaker.
Promotional Bulletin Board,1 Team of 3,"Students create a bulletin board based on the annual SkillsUSA theme. The bulletin boards promote SkillsUSA, CTE in general, and related occupational information.","-Bulletin Board, Creativity/SkillUSA/Design Knowledge",speaker. creative
Quiz Bowl,3 Teams of 5,"The Quiz Bowl tests a team of five competitors on their ability to quickly respond to questions covering the areas of academic knowledge, SkillsUSA Career Essentials knowledge, and current events.", - Academic/Skills USA Career Essentials/ Current Events Knowledge,good grades 
13 competitions,69 competitors,,,
